icao,site,observed_utc,observed_local,flight_category,temp_c,dewpoint_c,wind_dir_deg,wind_kts,gust_kts,vis_sm,altimeter_hpa,raw_text,fetched_at_utc,fetched_at_local,site_name,site_lat,site_lon,country,region
KADC,"Wadena Muni, MN, US",2025-10-03T18:35:00Z,2025-10-03 18:35:00,VFR,29,13,140,14,0,NA,1016,METAR KADC 031835Z AUTO 14014KT 10SM CLR 29/13 A3000 RMK AO2,2025-10-03T18:47:05Z,2025-10-03T14:47:05Z,Wadena Municipal Airport,46.450298,-95.210999,US,US-MN
KADC,"Wadena Muni, MN, US",2025-10-03T18:55:00Z,2025-10-03 18:55:00,VFR,29,12,150,14,19,NA,1015.7,METAR KADC 031855Z AUTO 15014G19KT 10SM CLR 29/12 A2999 RMK AO2,2025-10-03T18:58:26Z,2025-10-03T14:58:26Z,Wadena Municipal Airport,46.450298,-95.210999,US,US-MN
KADG,"Adrian/Lenawee Cnty, MI, US",2025-10-03T17:53:00Z,2025-10-03 13:53:00,VFR,28.3,11.1,VAR,5,0,NA,1023.8,METAR KADG 031753Z AUTO VRB05KT 10SM CLR 28/11 A3023 RMK AO2 SLP235 T02830111 10289 20089 58015,2025-10-03T18:05:12Z,2025-10-03T14:05:12Z,Lenawee County Airport,41.866205,-84.077983,US,US-MI
KADG,"Adrian/Lenawee Cnty, MI, US",2025-10-03T18:53:00Z,2025-10-03 14:53:00,VFR,28.9,11.7,190,5,0,NA,1023.1,METAR KADG 031853Z AUTO 19005KT 10SM CLR 29/12 A3021 RMK AO2 SLP227 T02890117,2025-10-03T18:58:26Z,2025-10-03T14:58:26Z,Lenawee County Airport,41.866205,-84.077983,US,US-MI
KADH,"Ada Muni, OK, US",2025-10-03T17:55:00Z,2025-10-03 12:55:00,VFR,31,21,130,8,0,NA,1022.1,METAR KADH 031755Z AUTO 13008KT 10SM CLR 31/21 A3018 RMK AO2 10306 20194,2025-10-03T18:05:12Z,2025-10-03T14:05:12Z,Ada Regional Airport,34.805214,-96.671988,US,US-OK
KADH,"Ada Muni, OK, US",2025-10-03T18:15:00Z,2025-10-03 13:15:00,VFR,31,21,100,5,0,NA,1021.8,METAR KADH 031815Z AUTO 10005KT 10SM CLR 31/21 A3017 RMK AO2,2025-10-03T18:21:36Z,2025-10-03T14:21:36Z,Ada Regional Airport,34.805214,-96.671988,US,US-OK
KADH,"Ada Muni, OK, US",2025-10-03T18:35:00Z,2025-10-03 13:35:00,VFR,31,20,130,6,0,NA,1021.4,METAR KADH 031835Z AUTO 13006KT 10SM CLR 31/20 A3016 RMK AO2,2025-10-03T18:47:05Z,2025-10-03T14:47:05Z,Ada Regional Airport,34.805214,-96.671988,US,US-OK
KADM,"Ardmore Muni, OK, US",2025-10-03T17:50:00Z,2025-10-03 12:50:00,VFR,29,20,0,0,0,NA,1021.4,METAR KADM 031750Z 00000KT 10SM CLR 29/20 A3016,2025-10-03T18:05:12Z,2025-10-03T14:05:12Z,Ardmore Municipal Airport,34.30301,-97.0196342,US,US-OK
KADM,"Ardmore Muni, OK, US",2025-10-03T18:50:00Z,2025-10-03 13:50:00,VFR,31,18,140,8,0,NA,1020.1,METAR KADM 031850Z 14008KT 10SM CLR 31/18 A3012,2025-10-03T18:58:26Z,2025-10-03T14:58:26Z,Ardmore Municipal Airport,34.30301,-97.0196342,US,US-OK
KADS,"Dallas/Addison Arpt, TX, US",2025-10-03T17:49:00Z,2025-10-03 12:49:00,VFR,30,18,90,4,0,NA,1021.1,METAR KADS 031749Z 09004KT 10SM FEW040 30/18 A3015,2025-10-03T18:05:12Z,2025-10-03T14:05:12Z,Addison Airport,32.9686012268,-96.8364028931,US,US-TX
KADS,"Dallas/Addison Arpt, TX, US",2025-10-03T18:47:00Z,2025-10-03 13:47:00,VFR,31,17,70,4,0,NA,1020.1,METAR KADS 031847Z 07004KT 10SM FEW050 31/17 A3012,2025-10-03T18:58:26Z,2025-10-03T14:58:26Z,Addison Airport,32.9686012268,-96.8364028931,US,US-TX
KADT,"Atwood/Rollins Cnty, KS, US",2025-10-03T17:30:00Z,2025-10-03 17:30:00,VFR,26.8,13.2,120,10,0,NA,1020.1,METAR KADT 031730Z AUTO 12010KT 10SM CLR 27/13 A3012 RMK AO2 T02680132,2025-10-03T18:05:12Z,2025-10-03T14:05:12Z,Atwood-Rawlins City-County Airport,39.841209,-101.043248,US,US-KS
KADT,"Atwood/Rollins Cnty, KS, US",2025-10-03T17:50:00Z,2025-10-03 17:50:00,VFR,27.8,12.4,130,12,0,NA,1019.4,METAR KADT 031750Z AUTO 13012KT 10SM CLR 28/12 A3010 RMK AO2 T02780124,2025-10-03T18:21:37Z,2025-10-03T14:21:37Z,Atwood-Rawlins City-County Airport,39.841209,-101.043248,US,US-KS
KADT,"Atwood/Rollins Cnty, KS, US",2025-10-03T18:30:00Z,2025-10-03 18:30:00,VFR,29.4,11.9,130,11,17,NA,1018.4,METAR KADT 031830Z AUTO 13011G17KT 10SM CLR 29/12 A3007 RMK AO2 T02940119,2025-10-03T18:47:05Z,2025-10-03T14:47:05Z,Atwood-Rawlins City-County Airport,39.841209,-101.043248,US,US-KS
KADU,"Audubon Cnty Arpt, IA, US",2025-10-03T17:55:00Z,2025-10-03 17:55:00,MVFR,29,16,160,8,0,NA,1020.7,METAR KADU 031755Z AUTO 16008KT 10SM SCT005 BKN019 OVC070 29/16 A3014 RMK AO2 PWINO,2025-10-03T18:05:12Z,2025-10-03T14:05:12Z,Audubon County Airport,41.701401,-94.920502,US,US-IA
KADU,"Audubon Cnty Arpt, IA, US",2025-10-03T18:15:00Z,2025-10-03 18:15:00,MVFR,30,15,150,8,0,NA,1020.4,METAR KADU 031815Z AUTO 15008KT 10SM SCT003 BKN022 OVC070 30/15 A3013 RMK AO2 PWINO,2025-10-03T18:21:36Z,2025-10-03T14:21:36Z,Audubon County Airport,41.701401,-94.920502,US,US-IA
KADU,"Audubon Cnty Arpt, IA, US",2025-10-03T18:35:00Z,2025-10-03 18:35:00,LIFR,31,16,180,10,0,NA,1020.1,METAR KADU 031835Z AUTO 18010KT 10SM BKN003 BKN042 OVC070 31/16 A3012 RMK AO2 PWINO,2025-10-03T18:47:05Z,2025-10-03T14:47:05Z,Audubon County Airport,41.701401,-94.920502,US,US-IA
KADU,"Audubon Cnty Arpt, IA, US",2025-10-03T18:55:00Z,2025-10-03 18:55:00,MVFR,31,15,160,9,0,NA,1019.7,METAR KADU 031855Z AUTO 16009KT 10SM SCT003 BKN016 OVC050 31/15 A3011 RMK AO2 PWINO,2025-10-03T18:58:26Z,2025-10-03T14:58:26Z,Audubon County Airport,41.701401,-94.920502,US,US-IA
KADW,"Andrews AFB, MD, US",2025-10-03T17:55:00Z,2025-10-03 13:55:00,VFR,21.3,10.1,0,0,0,NA,1026.5,METAR KADW 031755Z AUTO 00000KT 10SM CLR 21/10 A3031 RMK AO2 SLP270 T02130101 10213 20107 57024 TSNO $,2025-10-03T18:05:12Z,2025-10-03T14:05:12Z,Joint Base Andrews,38.810799,-76.866997,US,US-MD
KADW,"Andrews AFB, MD, US",2025-10-03T18:55:00Z,2025-10-03 14:55:00,VFR,21.4,9.6,0,0,0,NA,1025.8,METAR KADW 031855Z AUTO 00000KT 10SM CLR 21/10 A3029 RMK AO2 SLP264 T02140096 TSNO $,2025-10-03T18:58:25Z,2025-10-03T14:58:25Z,Joint Base Andrews,38.810799,-76.866997,US,US-MD
KAEG,"Albuquerque/Double Eagle Arpt, NM, US",2025-10-03T17:50:00Z,2025-10-03 17:50:00,VFR,25,5,150,10,16,NA,1026.5,METAR KAEG 031750Z 15010G16KT 10SM CLR 25/05 A3031,2025-10-03T18:05:12Z,2025-10-03T14:05:12Z,Double Eagle II Airport,35.145198822021484,-106.79499816894533,US,US-NM
KAEG,"Albuquerque/Double Eagle Arpt, NM, US",2025-10-03T18:50:00Z,2025-10-03 18:50:00,VFR,26,6,180,10,16,NA,1025.5,METAR KAEG 031850Z 18010G16KT 10SM SCT110 26/06 A3028,2025-10-03T18:58:26Z,2025-10-03T14:58:26Z,Double Eagle II Airport,35.145198822021484,-106.79499816894533,US,US-NM
KAEJ,"Buena Vista/Central Colorado Rgnl, CO, US",2025-10-03T17:55:00Z,2025-10-03 17:55:00,NA,21.1,-0.4,140,11,0,NA,1027.2,METAR KAEJ 031755Z AUTO 14011KT CLR 21/00 A3033 RMK AO2 T02111004 10211 20029 PWINO,2025-10-03T18:05:12Z,2025-10-03T14:05:12Z,Central Colorado Regional Airport,38.812906,-106.120062,US,US-CO
KAEJ,"Buena Vista/Central Colorado Rgnl, CO, US",2025-10-03T18:15:00Z,2025-10-03 18:15:00,NA,21.9,-1.1,140,11,19,NA,1026.8,METAR KAEJ 031815Z AUTO 14011G19KT CLR 22/M01 A3032 RMK AO2 T02191011 PWINO,2025-10-03T18:21:36Z,2025-10-03T14:21:36Z,Central Colorado Regional Airport,38.812906,-106.120062,US,US-CO
