"icao","site","observed_utc","observed_local","flight_category","temp_c","dewpoint_c","wind_dir_deg","wind_kts","gust_kts","vis_sm","altimeter_hpa","raw_text","fetched_at_utc","fetched_at_local"
"CBBC","Bella Bella Arpt, BC, CA",2025-11-17 02:00:00,"2025-11-16 18:00:00","MVFR",5,4,NA,NA,NA,9,1000.1,"METAR CBBC 170200Z AUTO /////KT 9SM OVC026 05/04 A2953 RMK WIND MISG SLP003",2025-11-17 02:15:56.706123,2025-11-16 21:15:56.706173
"CYAT","Attawapisket Arpt, ON, CA",2025-11-17 02:14:00,"2025-11-16 21:14:00","MVFR",-4,-5,310,14,24,3,1002.8,"SPECI CYAT 170214Z AUTO 31014G24KT 3SM -SN OVC014 M04/M05 A2961 RMK ICE SLP029",2025-11-17 02:16:11.614382,2025-11-16 21:16:11.614427
"CYBC","Baie Comeau Arpt, QC, CA",2025-11-17 02:00:00,"2025-11-16 21:00:00","MVFR",2,0,50,12,17,9,988.2,"METAR CYBC 170200Z AUTO 05012G17KT 9SM -RA BKN017 OVC042 02/M00 A2918 RMK SLP884",2025-11-17 02:16:11.620933,2025-11-16 21:16:11.620978
"CYAH","La Grande IV Arpt, QC, CA",2025-11-17 02:00:00,"2025-11-16 21:00:00","VFR",-2,-3,110,3,NA,9,993.6,"METAR CYAH 170200Z AUTO 11003KT 9SM CLR M02/M03 A2934 RMK SLP955",2025-11-17 02:16:11.627407,2025-11-16 21:16:11.627453
"CWJC","Ennadai Lake, NU, CA",2025-11-17 02:00:00,"2025-11-17 02:00:00",NA,-13.5,-15.5,NA,NA,NA,NA,NA,"METAR CWJC 170200Z AUTO M14/M16 RMK AO1 20 0154Z 3011 SLP190 T11351155",2025-11-17 02:16:11.635582,2025-11-16 21:16:11.635645
"CYAY","St Anthony Arpt, NL, CA",2025-11-17 02:00:00,"2025-11-16 22:30:00","VFR",2,2,90,10,NA,9,1002.8,"METAR CYAY 170200Z AUTO 09010KT 9SM SCT028 SCT180 BKN220 OVC240 02/02 A2961 RMK SLP032",2025-11-17 02:16:11.643804,2025-11-16 21:16:11.643857
"CYAM","Sault Ste Marie Arpt, ON, CA",2025-11-17 02:00:00,"2025-11-16 21:00:00","VFR",2,-5,320,17,25,15,1007.9,"METAR CYAM 170200Z 32017G25KT 15SM -SHSN FEW016 FEW027 BKN070 02/M05 A2976 RMK SF1CU1AC5 SLP087",2025-11-17 02:16:11.652083,2025-11-16 21:16:11.652143
"CYAZ","Tofino Arpt, BC, CA",2025-11-17 01:00:00,"2025-11-16 17:00:00","VFR",9,8,300,8,NA,15,998.4,"METAR CYAZ 170100Z 30008KT 15SM -RA SCT007 BKN066 09/08 A2948 RMK SF3AC4 LAST STFD OBS/NXT 171500Z SLP985",2025-11-17 02:16:11.660303,2025-11-16 21:16:11.660363
"CYKF","Waterloo Intl, ON, CA",2025-11-17 02:14:00,"2025-11-16 21:14:00","MVFR",-1,-3,300,11,NA,7,1004.8,"SPECI CYKF 170214Z AUTO 30011KT 7SM -SN SCT015 BKN022 BKN026 M01/M03 A2967 RMK SLP061",2025-11-17 02:16:12.935096,2025-11-16 21:16:12.935142
"CYLH","Lansdowne House Arpt, ON, CA",2025-11-17 02:12:00,"2025-11-16 21:12:00","MVFR",-5,-7,330,7,NA,9,1010.6,"SPECI CYLH 170212Z AUTO 33007KT 260V030 9SM -SN OVC020 M05/M07 A2984 RMK SLP126",2025-11-17 02:16:12.941581,2025-11-16 21:16:12.941625
"CYGV","Havre St Pierre Arpt, QC, CA",2025-11-17 02:11:00,"2025-11-16 21:11:00","VFR",2,1,60,12,17,9,992,"SPECI CYGV 170211Z AUTO 06012G17KT 9SM -RA FEW018 SCT026 BKN033 OVC083 02/01 A2929 RMK SLP922",2025-11-17 02:16:12.947947,2025-11-16 21:16:12.947992
"CYEV","Inuvik/Zubko Arpt, NT, CA",2025-11-17 02:10:00,"2025-11-16 19:10:00","MVFR",-20,-23,70,4,NA,15,1012.6,"SPECI CYEV 170210Z 07004KT 15SM -SN FEW007 OVC021 M20/M23 A2990 RMK ST1SC7 SLP138",2025-11-17 02:16:12.95436,2025-11-16 21:16:12.954404
"CYDF","Deer Lake Arpt, NL, CA",2025-11-17 02:06:00,"2025-11-16 22:36:00","MVFR",4,2,60,10,NA,12,998.1,"SPECI CYDF 170206Z 06010KT 12SM -RA OVC026 04/02 A2947 RMK SC8 SLP983",2025-11-17 02:16:12.960839,2025-11-16 21:16:12.960886
"CYFC","Fredericton Intl, NB, CA",2025-11-17 02:02:00,"2025-11-16 22:02:00","MVFR",2,2,280,5,NA,6,979.1,"SPECI CYFC 170202Z AUTO 28005KT 6SM -RA BR OVC012 02/02 A2891 RMK SLP792",2025-11-17 02:16:12.967436,2025-11-16 21:16:12.967482
"CYDB","Burwash Arpt, YT, CA",2025-11-17 02:01:00,"2025-11-16 19:01:00","MVFR",-13,-15,0,0,NA,9,997.7,"SPECI CYDB 170201Z AUTO 00000KT 9SM OVC018 M13/M15 A2946 RMK SLP043",2025-11-17 02:16:12.973926,2025-11-16 21:16:12.973978
"CYGR","Îles de la Madeleine Arpt, QC, CA",2025-11-17 02:00:00,"2025-11-16 22:00:00","MVFR",7,6,110,32,42,15,980.8,"METAR CYGR 170200Z 11032G42KT 15SM OVC011 07/06 A2896 RMK SC8 SLP810 DENSITY ALT 300FT",2025-11-17 02:16:12.980425,2025-11-16 21:16:12.98047
"CYHD","Dryden Rgnl, ON, CA",2025-11-17 02:00:00,"2025-11-16 20:00:00","VFR",-5,-11,290,5,NA,9,1015,"METAR CYHD 170200Z AUTO 29005KT 9SM FEW250 M05/M11 A2997 RMK SLP178",2025-11-17 02:16:12.986866,2025-11-16 21:16:12.98691
"CYHU","Montreal/St Hubert, QC, CA",2025-11-17 02:00:00,"2025-11-16 21:00:00","MVFR",0,-2,280,11,19,3,992.3,"METAR CYHU 170200Z AUTO 28011G19KT 3SM -SN FEW015 BKN026 OVC041 M00/M02 A2930 RMK SLP926",2025-11-17 02:16:12.993407,2025-11-16 21:16:12.993453
"CYBW","Calgary/Springbank Arpt, AB, CA",2025-11-17 02:00:00,"2025-11-17 02:00:00","VFR",1,-2,NA,2,NA,9,999.7,"METAR CYBW 170200Z AUTO VRB02KT 9SM OVC170 01/M02 A2952 RMK SLP041",2025-11-17 02:16:13.000086,2025-11-16 21:16:13.000136
"CYCY","Cylde River Arpt, NU, CA",2025-11-17 02:00:00,"2025-11-16 21:00:00","MVFR",-5,-8,NA,2,NA,9,1032.3,"METAR CYCY 170200Z AUTO VRB02KT 9SM OVC016 M05/M08 A3048 RMK SLP325",2025-11-17 02:16:13.006681,2025-11-16 21:16:13.006727
"CYEK","Arviat/Eskimo Pt Arpt, NU, CA",2025-11-17 02:00:00,"2025-11-16 20:00:00",NA,-4,-5,310,8,NA,NA,1009.9,"METAR CYEK 170200Z AUTO 31008KT OVC006 M04/M05 A2982 RMK WX MISG VIS MISG SLP102",2025-11-17 02:16:13.013194,2025-11-16 21:16:13.013239
"CYIO","Pond Inlet Arpt, NU, CA",2025-11-17 02:00:00,"2025-11-16 21:00:00","VFR",-15,-18,150,7,NA,9,1030.9,"METAR CYIO 170200Z AUTO 15007KT 9SM CLR M15/M18 A3044 RMK ICE SLP319",2025-11-17 02:16:13.019672,2025-11-16 21:16:13.019717
"CYCK","Chatham/Kent Arpt, ON, CA",2025-11-17 02:00:00,"2025-11-16 21:00:00","VFR",4,-5,320,12,19,9,1009.2,"METAR CYCK 170200Z AUTO 32012G19KT 9SM OVC066 04/M05 A2980 RMK SLP097",2025-11-17 02:16:13.026164,2025-11-16 21:16:13.02621
"CYER","Ft Severn Arpt, ON, CA",2025-11-17 02:00:00,"2025-11-16 21:00:00","MVFR",-10,-12,280,11,17,9,1010.2,"METAR CYER 170200Z AUTO 28011G17KT 9SM OVC012 M10/M12 A2983 RMK SLP104",2025-11-17 02:16:13.032631,2025-11-16 21:16:13.032676
"CYKP","Ogoki Post, ON, CA",2025-11-17 02:00:00,"2025-11-16 21:00:00","MVFR",-5,-8,330,12,23,9,1008.9,"METAR CYKP 170200Z AUTO 33012G23KT 9SM OVC023 M05/M08 A2979 RMK SLP105",2025-11-17 02:16:13.039139,2025-11-16 21:16:13.039185
"CYBK","Baker Lake Arpt, NU, CA",2025-11-17 02:00:00,"2025-11-16 20:00:00","IFR",-1,-2,60,6,NA,15,1014,"METAR CYBK 170200Z 06006KT 15SM -SN OVC006 M01/M02 A2994 RMK SC8 SLP144",2025-11-17 02:16:13.045637,2025-11-16 21:16:13.045682
"CYBQ","Tadoule Lake Arpt, MB, CA",2025-11-17 02:00:00,"2025-11-16 20:00:00","MVFR",-12,-14,300,7,17,9,1015,"METAR CYBQ 170200Z AUTO 30007G17KT 270V340 9SM -SN OVC015 M12/M14 A2997 RMK ICE SLP178",2025-11-17 02:16:13.052132,2025-11-16 21:16:13.052176
"CYDN","Dauphin Arpt, MB, CA",2025-11-17 02:00:00,"2025-11-16 20:00:00","VFR",-5,-8,80,2,NA,9,1015.7,"METAR CYDN 170200Z AUTO 08002KT 9SM CLR M05/M08 A2999 RMK SLP178",2025-11-17 02:16:13.058602,2025-11-16 21:16:13.058648
"CYEN","Estevan Arpt, SK, CA",2025-11-17 02:00:00,"2025-11-16 20:00:00","MVFR",-2,-2,90,5,NA,3,1012.6,"METAR CYEN 170200Z AUTO 09005KT 3SM BR BKN170 M02/M02 A2990 RMK SLP158",2025-11-17 02:16:13.077209,2025-11-16 21:16:13.077256
"CYCA","Cartwright Arpt, NL, CA",2025-11-17 02:00:00,"2025-11-16 22:00:00","MVFR",2,1,NA,2,NA,9,1004.5,"METAR CYCA 170200Z AUTO VRB02KT 9SM OVC011 02/01 A2966 RMK SLP045",2025-11-17 02:16:13.083628,2025-11-16 21:16:13.083672
"CYBL","Campbell River Arpt, BC, CA",2025-11-17 02:00:00,"2025-11-16 18:00:00","LIFR",10,10,140,5,NA,5,997.4,"METAR CYBL 170200Z 14005KT 5SM -RA BR OVC004 10/10 A2945 RMK SC8 SLP978",2025-11-17 02:16:13.090101,2025-11-16 21:16:13.090148
"CYHE","Hope Rgnl Airpark, BC, CA",2025-11-17 02:00:00,"2025-11-16 18:00:00","MVFR",9,9,90,5,NA,9,1000.1,"METAR CYHE 170200Z AUTO 09005KT 9SM OVC027 09/09 A2953 RMK ICE MISG SLP004",2025-11-17 02:16:13.096576,2025-11-16 21:16:13.09662
"CYHM","Hamilton/Munro Intl, ON, CA",2025-11-17 02:00:00,"2025-11-16 21:00:00","VFR",0,-3,260,9,NA,15,1005.5,"METAR CYHM 170200Z 26009KT 15SM -SN OVC052 00/M03 A2969 RMK SC8 SLP064",2025-11-17 02:16:13.103177,2025-11-16 21:16:13.103222
