"icao","site","observed_utc","observed_local","flight_category","temp_c","dewpoint_c","wind_dir_deg","wind_kts","gust_kts","vis_sm","altimeter_hpa","raw_text","fetched_at_utc","fetched_at_local"
"PAPE","Perryville Arpt, AK, US",2025-09-24 02:56:00,"2025-09-23 18:56:00","IFR",10.6,9.4,10,4,NA,NA,985.2,"METAR PAPE 240256Z AUTO 01004KT 10SM FEW005 OVC009 11/09 A2909 RMK AO2 RAE13 SLP849 P0000 60004 T01060094 56020",2025-09-24 03:46:21.153362,2025-09-23 23:46:21.153408
"PAIW","Wales Arpt, AK, US",2025-09-24 02:56:00,"2025-09-23 18:56:00","VFR",5,1.1,40,13,17,NA,1001.4,"METAR PAIW 240256Z AUTO 04013G17KT 10SM CLR 05/01 A2957 RMK AO2 SLP012 T00500011 56006",2025-09-24 03:46:21.159834,2025-09-23 23:46:21.159878
"PAKI","Kipnuk Arpt, AK, US",2025-09-24 02:56:00,"2025-09-23 18:56:00","VFR",7.2,1.1,80,17,NA,NA,989.6,"METAR PAKI 240256Z AUTO 08017KT 10SM OVC040 07/01 A2922 RMK AO2 PK WND 08028/0205 SLP894 T00720011 56018",2025-09-24 03:46:21.166188,2025-09-23 23:46:21.166233
"PAKP","Anaktuvuk Pass Arpt, AK, US",2025-09-24 02:56:00,"2025-09-23 18:56:00","VFR",-1.7,-4.4,50,3,NA,NA,1001.1,"METAR PAKP 240256Z AUTO 05003KT 10SM OVC065 M02/M04 A2956 RMK AO2 SLP055 6//// T10171044 56018 FZRANO PNO $",2025-09-24 03:46:21.172591,2025-09-23 23:46:21.172635
"PAMH","Minchumina Arpt, AK, US",2025-09-24 02:56:00,"2025-09-23 18:56:00","VFR",3.9,-3.3,0,0,NA,NA,1000.4,"METAR PAMH 240256Z AUTO 00000KT 10SM CLR 04/M03 A2954 RMK AO2 SLP006 T00391033 56014 TSNO",2025-09-24 03:46:21.179009,2025-09-23 23:46:21.179053
"PAOO","Tooksok Bay Arpt, AK, US",2025-09-24 02:56:00,"2025-09-23 18:56:00","VFR",6.7,1.1,40,19,24,NA,990.9,"METAR PAOO 240256Z AUTO 04019G24KT 10SM FEW049 OVC060 07/01 A2926 RMK AO2 PK WND 05028/0236 SLP914 T00670011 58011 TSNO $",2025-09-24 03:46:21.185572,2025-09-23 23:46:21.185616
"PAPH","Port Heiden Arpt, AK, US",2025-09-24 02:56:00,"2025-09-23 18:56:00","VFR",10,10,140,14,25,NA,985.5,"METAR PAPH 240256Z AUTO 14014G25KT 10SM -RA OVC060 10/10 A2910 RMK AO2 PK WND 14028/0200 RAB17 SLP853 P0000 60000 T01000100 56029 $",2025-09-24 03:46:21.203284,2025-09-23 23:46:21.203346
"PFWS","South Naknek Arpt, AK, US",2025-09-24 02:56:00,"2025-09-23 18:56:00","VFR",6.1,3.3,90,10,NA,NA,NA,"METAR PFWS 240256Z AUTO 09010KT 10SM -RA OVC035 06/03 RMK AO2 SLPNO 6//// T00610033 PNO $",2025-09-24 03:46:21.210631,2025-09-23 23:46:21.210677
"PANV","Anvik Arpt, AK, US",2025-09-24 02:56:00,"2025-09-23 18:56:00","VFR",6.7,-2.8,50,10,NA,NA,996.4,"METAR PANV 240256Z AUTO 05010KT 10SM CLR 07/M03 A2942 RMK AO2 SLP030 T00671028 56021 TSNO",2025-09-24 03:46:21.217509,2025-09-23 23:46:21.217556
"PASM","St Marys Arpt, AK, US",2025-09-24 02:56:00,"2025-09-23 18:56:00","VFR",6.1,-3.3,80,11,18,NA,995.3,"METAR PASM 240256Z AUTO 08011G18KT 10SM CLR 06/M03 A2939 RMK AO2 SLPNO T00611033 56018",2025-09-24 03:46:21.224306,2025-09-23 23:46:21.22435
"PASX","Soldotna Arpt, AK, US",2025-09-24 02:56:00,"2025-09-23 18:56:00","VFR",8.3,2.8,0,0,NA,NA,1000.8,"METAR PASX 240256Z AUTO 00000KT 10SM BKN060 OVC080 08/03 A2955 RMK AO2 SLP013 T00830028 58016 TSNO",2025-09-24 03:46:21.23078,2025-09-23 23:46:21.230824
"PATE","Teller Arpt, AK, US",2025-09-24 02:56:00,"2025-09-23 18:56:00","VFR",5,-1.7,330,5,NA,NA,1000.1,"METAR PATE 240256Z AUTO 33005KT 10SM CLR 05/M02 A2953 RMK AO2 SLP003 T00501017 58008 TSNO",2025-09-24 03:46:21.237213,2025-09-23 23:46:21.23726
"PATQ","Atqasuk/Burnell Mem, AK, US",2025-09-24 02:56:00,"2025-09-23 18:56:00","VFR",1.7,0.6,200,8,NA,NA,999.4,"METAR PATQ 240256Z AUTO 20008KT 10SM FEW014 BKN045 OVC110 02/01 A2951 RMK AO2 SLP996 T00170006 56004 FZRANO TSNO",2025-09-24 03:46:21.243609,2025-09-23 23:46:21.243653
"PAWG","Wrangell Arpt, AK, US",2025-09-24 02:56:00,"2025-09-23 18:56:00","VFR",10,8.9,130,5,NA,NA,1020.4,"METAR PAWG 240256Z 13005KT 10SM FEW010 BKN040 OVC080 10/09 A3013 RMK AO2 RAE18 SLP203 6//// T01000089 50006 PNO $",2025-09-24 03:46:21.250029,2025-09-23 23:46:21.250074
"PARS","Russian Mission Arpt, AK, US",2025-09-24 02:56:00,"2025-09-23 18:56:00","VFR",7.2,-1.7,70,8,15,NA,994.7,"METAR PARS 240256Z AUTO 07008G15KT 10SM CLR 07/M02 A2937 RMK AO2 SLP950 6//// T00721017 57021 PNO $",2025-09-24 03:46:21.256471,2025-09-23 23:46:21.256515
"PAWM","White Mouintain Arpt, AK, US",2025-09-24 02:56:00,"2025-09-23 18:56:00","VFR",6.1,-1.7,150,4,NA,9,999.4,"METAR PAWM 240256Z AUTO 15004KT 9SM OVC042 06/M02 A2951 RMK AO2 SLP998 T00611017 56011",2025-09-24 03:46:21.262775,2025-09-23 23:46:21.262818
"PAIG","Igiugig Arpt, AK, US",2025-09-24 02:56:00,"2025-09-23 18:56:00","VFR",NA,NA,60,16,21,NA,994.3,"METAR PAIG 240256Z AUTO 06016G21KT 10SM OVC065 A2936 RMK AO2 SLPNO 6//// 56041 FZRANO PNO $",2025-09-24 03:46:21.269148,2025-09-23 23:46:21.269193
