"icao","site","observed_utc","observed_local","flight_category","temp_c","dewpoint_c","wind_dir_deg","wind_kts","gust_kts","vis_sm","altimeter_hpa","raw_text","fetched_at_utc","fetched_at_local"
"CYLA","Apaluk Arpt, QC, CA",2025-11-03 13:00:00,"2025-11-03 08:00:00","VFR",0,-2,160,12,NA,15,997.7,"METAR CYLA 031300Z 16012KT 15SM FEW010 SCT038 BKN130 00/M02 A2946 RMK SC1SC4AC3 SC TR SLP980",2025-11-03 13:28:57.509938,2025-11-03 08:28:57.509976
"CYCS","Chesterfield Inlet Arpt, NU, CA",2025-11-03 13:00:00,"2025-11-03 07:00:00","LIFR",1,0,160,5,NA,0.5,984.2,"METAR CYCS 031300Z 16005KT 1/2SM FG OVC043 01/00 A2906 RMK FG4SC4 SNW CV/TRACE LOOSE SLP842",2025-11-03 13:28:57.51599,2025-11-03 08:28:57.516051
"CYLH","Lansdowne House Arpt, ON, CA",2025-11-03 13:00:00,"2025-11-03 08:00:00","MVFR",3,3,280,12,20,9,994,"METAR CYLH 031300Z AUTO 28012G20KT 9SM -RA OVC014 03/03 A2935 RMK PCPN 0.5MM PAST HR SLP951",2025-11-03 13:28:57.522038,2025-11-03 08:28:57.522079
"CYCA","Cartwright Arpt, NL, CA",2025-11-03 13:00:00,"2025-11-03 09:00:00","MVFR",-1,-6,270,10,15,9,1011.9,"METAR CYCA 031300Z AUTO 27010G15KT 9SM OVC027 M01/M06 A2988 RMK SLP121",2025-11-03 13:28:57.528019,2025-11-03 08:28:57.528061
"CYEK","Arviat/Eskimo Pt Arpt, NU, CA",2025-11-03 13:00:00,"2025-11-03 07:00:00","MVFR",1,1,300,10,NA,15,986.2,"METAR CYEK 031300Z 30010KT 15SM OVC014 01/01 A2912 RMK SC8 SNW CVR/NIL SLP864",2025-11-03 13:28:57.533928,2025-11-03 08:28:57.533967
"CYLT","Alert Arpt, NU, CA",2025-11-03 13:00:00,"2025-11-03 08:00:00","MVFR",-22,-24,340,5,NA,4,1006.5,"METAR CYLT 031300Z 34005KT 4SM -SN BR SCT003 OVC025 M22/M24 A2972 RMK ST4SC4 DENSITY ALT -4417FT VIS VRB 3-5 SLP070",2025-11-03 13:28:57.539946,2025-11-03 08:28:57.539981
"CYDL","Dease Lake Arpt, BC, CA",2025-11-03 13:00:00,"2025-11-03 05:00:00","VFR",-9,-11,0,0,NA,9,1009.2,"METAR CYDL 031300Z AUTO 00000KT 9SM CLR M09/M11 A2980 RMK SLP127",2025-11-03 13:28:57.545858,2025-11-03 08:28:57.545897
"CYCO","Coppermine/Kugluktuk Arpt, NU, CA",2025-11-03 13:00:00,"2025-11-03 06:00:00","IFR",-8,-10,10,25,NA,2.5,1000.8,"METAR CYCO 031300Z 01025KT 2 1/2SM -SN DRSN OVC011 M08/M10 A2955 RMK ST8 SLP010",2025-11-03 13:28:57.551746,2025-11-03 08:28:57.551781
"CYDB","Burwash Arpt, YT, CA",2025-11-03 13:00:00,"2025-11-03 06:00:00","VFR",-4,-7,NA,2,NA,9,1000.4,"METAR CYDB 031300Z AUTO VRB02KT 9SM CLR M04/M07 A2954 RMK SLP046",2025-11-03 13:28:57.567498,2025-11-03 08:28:57.567536
"CYEV","Inuvik/Zubko Arpt, NT, CA",2025-11-03 13:00:00,"2025-11-03 06:00:00","VFR",-5,-7,60,8,NA,6,1009.6,"METAR CYEV 031300Z 06008KT 6SM -SN DRSN SCT009 OVC032 M05/M07 A2981 RMK SC4SC4 SLP102",2025-11-03 13:28:57.573552,2025-11-03 08:28:57.573589
"CYFO","Flin Flon Arpto, MB, CA",2025-11-03 13:00:00,"2025-11-03 07:00:00","VFR",4,-3,250,10,17,15,1003.1,"METAR CYFO 031300Z 25010G17KT 15SM BKN092 04/M03 A2962 RMK AC6 SLP045",2025-11-03 13:28:57.579443,2025-11-03 08:28:57.579478
"CYBR","Brandon Arpt, MB, CA",2025-11-03 13:00:00,"2025-11-03 07:00:00","VFR",-1,-6,280,10,NA,15,1013.6,"METAR CYBR 031300Z 28010KT 15SM SKC M01/M06 A2993 RMK SLP159",2025-11-03 13:28:57.585322,2025-11-03 08:28:57.585357
"CYDQ","Dawson Creek Arpt, BC, CA",2025-11-03 13:00:00,"2025-11-03 06:00:00","VFR",2,-7,250,13,19,9,1010.9,"METAR CYDQ 031300Z AUTO 25013G19KT 9SM CLR 02/M07 A2985 RMK SLP138",2025-11-03 13:28:57.591205,2025-11-03 08:28:57.591243
"CYEG","Edmonton Intl Arpt, AB, CA",2025-11-03 13:00:00,"2025-11-03 06:00:00","VFR",-4,-9,50,2,NA,20,1014.6,"METAR CYEG 031300Z 05002KT 20SM FEW090 M04/M09 A2996 RMK AC1 AC TR SLP179",2025-11-03 13:28:57.597227,2025-11-03 08:28:57.597266
"CYFB","Iqaluit Arpt, NU, CA",2025-11-03 13:00:00,"2025-11-03 08:00:00","VFR",-9,-13,50,6,NA,30,1002.1,"METAR CYFB 031300Z 05006KT 30SM FEW014 SCT058 BKN260 M09/M13 A2959 RMK SC1SC3CI4 SC TR SLP026",2025-11-03 13:28:57.60328,2025-11-03 08:28:57.603317
"CYFC","Fredericton Intl, NB, CA",2025-11-03 13:00:00,"2025-11-03 09:00:00","VFR",1,-2,210,6,NA,9,1022.4,"METAR CYFC 031300Z AUTO 21006KT 9SM CLR 01/M02 A3019 RMK SLP227",2025-11-03 13:28:57.609282,2025-11-03 08:28:57.609321
"CYFT","Makkovik Arpt, NL, CA",2025-11-03 13:00:00,"2025-11-03 09:00:00","VFR",-3,-7,240,16,22,15,1009.6,"METAR CYFT 031300Z 24016G22KT 15SM FEW250 M03/M07 A2981 RMK CI1 CI TR SLP100",2025-11-03 13:28:57.615237,2025-11-03 08:28:57.615274
"CYGL","La Grande Riviere Arpt, QC, CA",2025-11-03 13:00:00,"2025-11-03 08:00:00","IFR",3,3,160,13,21,12,987.2,"METAR CYGL 031300Z 16013G21KT 12SM -RA OVC005 03/03 A2915 RMK SF8 SLP881",2025-11-03 13:28:57.621209,2025-11-03 08:28:57.621249
"CYHZ","Halifax/Stanfield Intl, NS, CA",2025-11-03 13:00:00,"2025-11-03 09:00:00","VFR",3,-1,260,5,NA,15,1023.1,"METAR CYHZ 031300Z 26005KT 15SM BKN033 03/M01 A3021 RMK SC7 SLP237",2025-11-03 13:28:57.627106,2025-11-03 08:28:57.627145
"CYKL","Schefferville Arpt, QC, CA",2025-11-03 13:00:00,"2025-11-03 08:00:00","MVFR",-2,-5,200,16,21,9,1003.1,"METAR CYKL 031300Z AUTO 20016G21KT 9SM BKN019 OVC130 M02/M05 A2962 RMK SLP062",2025-11-03 13:28:57.63297,2025-11-03 08:28:57.633023
"CYLJ","Meadow Lake Arpt, SK, CA",2025-11-03 13:00:00,"2025-11-03 07:00:00","VFR",1,-6,250,13,NA,15,1010.2,"METAR CYLJ 031300Z 25013KT 15SM SKC 01/M06 A2983 RMK SLP128",2025-11-03 13:28:57.638932,2025-11-03 08:28:57.638969
"CYLL","Lloydminster Arpt, AB, CA",2025-11-03 13:00:00,"2025-11-03 06:00:00","VFR",-2,-8,260,11,16,9,1013.3,"METAR CYLL 031300Z AUTO 26011G16KT 9SM CLR M02/M08 A2992 RMK SLP164",2025-11-03 13:28:57.644918,2025-11-03 08:28:57.644954
"CYLW","Kelowna Arpt, BC, CA",2025-11-03 13:00:00,"2025-11-03 05:00:00","VFR",0,-2,30,3,NA,9,1020.4,"METAR CYLW 031300Z AUTO 03003KT 360V120 9SM BKN160 OVC180 M00/M02 A3013 RMK ICE MISG SLP218",2025-11-03 13:28:57.650961,2025-11-03 08:28:57.650999
"CYBW","Calgary/Springbank Arpt, AB, CA",2025-11-03 13:00:00,"2025-11-03 13:00:00","VFR",-5,-11,240,9,NA,9,1016.7,"METAR CYBW 031300Z AUTO 24009KT 9SM BKN190 BKN210 M05/M11 A3002 RMK SLP222",2025-11-03 13:28:57.657054,2025-11-03 08:28:57.657094
"CYBX","Blanc Sablon Arpt, QC, CA",2025-11-03 13:00:00,"2025-11-03 09:00:00","VFR",0,-5,270,11,NA,15,1014.6,"METAR CYBX 031300Z 27011KT 15SM FEW035 00/M05 A2996 RMK SC2 SLP150",2025-11-03 13:28:57.663091,2025-11-03 08:28:57.663131
"CYCB","Cambridge Bay Arpt, NU, CA",2025-11-03 13:00:00,"2025-11-03 06:00:00","LIFR",-6,-6,20,32,41,0.75,993.3,"METAR CYCB 031300Z 02032G41KT 3/4SM -SN BLSN OVC010 M06/M06 A2933 RMK BLSN1SC7 SLP937",2025-11-03 13:28:57.669158,2025-11-03 08:28:57.669196
"CYCY","Cylde River Arpt, NU, CA",2025-11-03 13:00:00,"2025-11-03 08:00:00","MVFR",-8,-9,180,7,NA,9,1000.4,"METAR CYCY 031300Z AUTO 18007KT 9SM OVC015 M08/M09 A2954 RMK SLP008",2025-11-03 13:28:57.675213,2025-11-03 08:28:57.675252
"CYDF","Deer Lake Arpt, NL, CA",2025-11-03 13:00:00,"2025-11-03 09:30:00","VFR",4,0,250,8,NA,15,1016.7,"METAR CYDF 031300Z 25008KT 15SM BKN044 04/00 A3002 RMK SC5 SLP170",2025-11-03 13:28:57.681245,2025-11-03 08:28:57.681281
"CYDP","Nain Arpt, NL, CA",2025-11-03 13:00:00,"2025-11-03 09:00:00","VFR",0,-6,250,4,NA,15,1006.9,"METAR CYDP 031300Z 25004KT 15SM BKN044 BKN100 00/M06 A2973 RMK SC6AC1 AC TR SLP069",2025-11-03 13:28:57.69797,2025-11-03 08:28:57.698023
"CYEN","Estevan Arpt, SK, CA",2025-11-03 13:00:00,"2025-11-03 07:00:00","VFR",-1,-7,280,11,16,9,1018.7,"METAR CYEN 031300Z AUTO 28011G16KT 9SM CLR M01/M07 A3008 RMK SLP212",2025-11-03 13:28:57.70405,2025-11-03 08:28:57.704087
"CYET","Edson Arpt, AB, CA",2025-11-03 13:00:00,"2025-11-03 06:00:00","VFR",-2,-9,230,4,NA,9,1013.6,"METAR CYET 031300Z AUTO 23004KT 9SM CLR M02/M09 A2993 RMK SLP173",2025-11-03 13:28:57.710182,2025-11-03 08:28:57.710218
"CYGK","Kingston Arpt, ON, CA",2025-11-03 13:00:00,"2025-11-03 08:00:00","VFR",12,7,200,17,NA,15,1014.6,"METAR CYGK 031300Z 20017KT 15SM BKN045 BKN070 12/07 A2996 RMK SC6AC1 SLP151",2025-11-03 13:28:57.716353,2025-11-03 08:28:57.71639
"CYGP","Gaspé Arpt, QC, CA",2025-11-03 13:00:00,"2025-11-03 08:00:00","VFR",3,-1,NA,2,NA,15,1018,"METAR CYGP 031300Z VRB02KT 15SM FEW030 FEW040 SCT210 BKN240 03/M01 A3006 RMK CU1SC2CS2CI2 CU TR SLP183",2025-11-03 13:28:57.722626,2025-11-03 08:28:57.722664
