icao,site,observed_utc,observed_local,flight_category,temp_c,dewpoint_c,wind_dir_deg,wind_kts,gust_kts,vis_sm,altimeter_hpa,raw_text,fetched_at_utc,fetched_at_local,site_name,site_lat,site_lon,country,region
CBBC,"Bella Bella Arpt, BC, CA",2025-11-17T02:00:00Z,2025-11-16 18:00:00,MVFR,5,4,VAR,NA,0,9,1000.1,METAR CBBC 170200Z AUTO /////KT 9SM OVC026 05/04 A2953 RMK WIND MISG SLP003,2025-11-17T02:15:56Z,2025-11-16T21:15:56Z,Bella Bella (Campbell Island) Airport,52.185001,-128.156994,CA,CA-BC
CBBC,"Bella Bella Arpt, BC, CA",2025-11-17T03:32:00Z,2025-11-16 19:32:00,MVFR,4,4,VAR,NA,0,9,1001.4,SPECI CBBC 170332Z AUTO /////KT 9SM OVC024 04/04 A2957 RMK WIND MISG SLP017,2025-11-17T03:32:49Z,2025-11-16T22:32:49Z,Bella Bella (Campbell Island) Airport,52.185001,-128.156994,CA,CA-BC
CBBC,"Bella Bella Arpt, BC, CA",2025-11-17T04:07:00Z,2025-11-16 20:07:00,MVFR,4,4,VAR,NA,0,9,1002.1,SPECI CBBC 170407Z AUTO /////KT 9SM FEW014 BKN024 BKN036 OVC044 04/04 A2959 RMK WIND MISG SLP023,2025-11-17T04:08:20Z,2025-11-16T23:08:20Z,Bella Bella (Campbell Island) Airport,52.185001,-128.156994,CA,CA-BC
CWJC,"Ennadai Lake, NU, CA",2025-11-17T02:00:00Z,2025-11-17 02:00:00,NA,-13.5,-15.5,VAR,NA,0,NA,NA,METAR CWJC 170200Z AUTO M14/M16 RMK AO1 20 0154Z 3011 SLP190 T11351155,2025-11-17T02:16:11Z,2025-11-16T21:16:11Z,Ennadai Lake Airport,61.1333333333,-100.9,CA,CA-NU
CWJC,"Ennadai Lake, NU, CA",2025-11-17T03:00:00Z,2025-11-17 03:00:00,NA,-14.3,-16.3,VAR,NA,0,NA,NA,METAR CWJC 170300Z AUTO M14/M16 RMK AO1 20 0200Z 1011 SLP193 T11431163,2025-11-17T03:33:02Z,2025-11-16T22:33:02Z,Ennadai Lake Airport,61.1333333333,-100.9,CA,CA-NU
CWJC,"Ennadai Lake, NU, CA",2025-11-17T04:00:00Z,2025-11-17 04:00:00,NA,-14.3,-16.1,VAR,NA,0,NA,NA,METAR CWJC 170400Z AUTO M14/M16 RMK AO1 19 0306Z 1008 SLP194 T11431161,2025-11-17T04:08:32Z,2025-11-16T23:08:32Z,Ennadai Lake Airport,61.1333333333,-100.9,CA,CA-NU
CYAH,"La Grande IV Arpt, QC, CA",2025-11-17T02:00:00Z,2025-11-16 21:00:00,VFR,-2,-3,110,3,0,9,993.6,METAR CYAH 170200Z AUTO 11003KT 9SM CLR M02/M03 A2934 RMK SLP955,2025-11-17T02:16:11Z,2025-11-16T21:16:11Z,La Grande-4 Airport,53.754699707,-73.6753005981,CA,CA-QC
CYAH,"La Grande IV Arpt, QC, CA",2025-11-17T03:00:00Z,2025-11-16 22:00:00,VFR,-2,-3,VAR,2,0,9,994,METAR CYAH 170300Z AUTO VRB02KT 9SM OVC060 M02/M03 A2935 RMK SLP957,2025-11-17T03:33:02Z,2025-11-16T22:33:02Z,La Grande-4 Airport,53.754699707,-73.6753005981,CA,CA-QC
CYAH,"La Grande IV Arpt, QC, CA",2025-11-17T04:00:00Z,2025-11-16 23:00:00,VFR,-1,-2,0,0,0,9,994,METAR CYAH 170400Z AUTO 00000KT 9SM OVC060 M01/M02 A2935 RMK SLP958,2025-11-17T04:08:32Z,2025-11-16T23:08:32Z,La Grande-4 Airport,53.754699707,-73.6753005981,CA,CA-QC
CYAM,"Sault Ste Marie Arpt, ON, CA",2025-11-17T02:00:00Z,2025-11-16 21:00:00,VFR,2,-5,320,17,25,15,1007.9,METAR CYAM 170200Z 32017G25KT 15SM -SHSN FEW016 FEW027 BKN070 02/M05 A2976 RMK SF1CU1AC5 SLP087,2025-11-17T02:16:11Z,2025-11-16T21:16:11Z,Sault Ste Marie Airport,46.483216,-84.508467,CA,CA-ON
