[2025-09-10 07:31:20 EDT] Cleaned METARs — input: 48603 rows, kept: 16640 rows, dropped: 31963 rows, enriched: 16640 rows
[2025-09-10 07:42:26 EDT] Cleaned METARs — input: 49631 rows, kept: 16760 rows, dropped: 32871 rows, enriched: 16760 rows
[2025-09-10 07:52:34 EDT] Cleaned METARs — input: 50655 rows, kept: 16840 rows, dropped: 33815 rows, enriched: 16840 rows
[2025-09-10 08:18:27 EDT] Cleaned METARs — input: 51721 rows, kept: 17880 rows, dropped: 33841 rows, enriched: 17880 rows
[2025-09-10 08:59:49 EDT] Cleaned METARs — input: 52796 rows, kept: 18760 rows, dropped: 34036 rows, enriched: 18760 rows
[2025-09-10 09:29:36 EDT] Cleaned METARs — input: 53895 rows, kept: 19167 rows, dropped: 34728 rows, enriched: 19167 rows
[2025-09-10 09:32:43 EDT] Cleaned METARs — input: 54995 rows, kept: 19188 rows, dropped: 35807 rows, enriched: 19188 rows
[2025-09-10 09:47:22 EDT] Cleaned METARs — input: 56094 rows, kept: 19306 rows, dropped: 36788 rows, enriched: 19306 rows
[2025-09-10 09:57:27 EDT] Cleaned METARs — input: 57197 rows, kept: 19933 rows, dropped: 37264 rows, enriched: 19933 rows
[2025-09-10 10:20:27 EDT] Cleaned METARs — input: 58307 rows, kept: 20477 rows, dropped: 37830 rows, enriched: 20477 rows
[2025-09-10 10:39:13 EDT] Cleaned METARs — input: 59402 rows, kept: 20598 rows, dropped: 38804 rows, enriched: 20598 rows
[2025-09-10 10:49:48 EDT] Cleaned METARs — input: 60494 rows, kept: 20689 rows, dropped: 39805 rows, enriched: 20689 rows
[2025-09-10 11:00:10 EDT] Cleaned METARs — input: 61593 rows, kept: 21491 rows, dropped: 40102 rows, enriched: 21491 rows
[2025-09-10 11:22:07 EDT] Cleaned METARs — input: 62694 rows, kept: 21870 rows, dropped: 40824 rows, enriched: 21870 rows
[2025-09-10 11:35:48 EDT] Cleaned METARs — input: 63789 rows, kept: 21951 rows, dropped: 41838 rows, enriched: 21951 rows
[2025-09-10 11:42:03 EDT] Cleaned METARs — input: 64884 rows, kept: 22028 rows, dropped: 42856 rows, enriched: 22028 rows
[2025-09-10 12:11:06 EDT] Cleaned METARs — input: 66000 rows, kept: 23133 rows, dropped: 42867 rows, enriched: 23133 rows
[2025-09-10 12:19:01 EDT] Cleaned METARs — input: 67116 rows, kept: 23196 rows, dropped: 43920 rows, enriched: 23196 rows
[2025-09-10 12:40:48 EDT] Cleaned METARs — input: 68229 rows, kept: 23337 rows, dropped: 44892 rows, enriched: 23337 rows
